robot_name,item_picked,start_time,end_time,time taken
/robot_namespace_1,0,1663055998.5230477,1663056027.5274987,29.004451036453247
/robot_namespace_5,2,1663056008.5167859,1663056067.5172472,59.00046133995056
/robot_namespace_3,0,1663056016.6422408,1663056075.643604,59.0013632774353
/robot_namespace_4,2,1663055993.6265848,1663056081.6298113,88.00322651863098
/robot_namespace_2,2,1663055998.4934435,1663056086.4959228,88.00247931480408
/robot_namespace_0,2,1663055990.471901,1663056089.4724257,99.0005247592926
/robot_namespace_1,0,1663056069.5229032,1663056130.5261881,61.00328493118286
/robot_namespace_1,0,1663056169.5230384,1663056209.5266905,40.00365209579468
/robot_namespace_5,1,1663056148.5167599,1663056233.519218,85.00245809555054
/robot_namespace_4,0,1663056136.6274161,1663056233.6310248,97.00360870361328
/robot_namespace_3,1,1663056142.642585,1663056233.6427534,91.00016832351685
/robot_namespace_0,2,1663056170.4712663,1663056240.4733078,70.00204157829285
/robot_namespace_2,2,1663056164.4936724,1663056253.497009,89.00333666801453
/robot_namespace_1,0,1663056256.522932,1663056311.5254927,55.00256061553955
/robot_namespace_3,1,1663056292.6447086,1663056338.6449907,46.00028204917908
/robot_namespace_4,2,1663056283.6268747,1663056340.6298723,57.002997636795044
/robot_namespace_5,1,1663056296.5162199,1663056357.5188694,61.002649545669556
/robot_namespace_2,2,1663056307.4934154,1663056365.4972534,58.00383806228638
/robot_namespace_0,2,1663056323.4716735,1663056373.4725196,50.00084614753723
/robot_namespace_1,1,1663056353.5230312,1663056387.5238788,34.000847578048706
/robot_namespace_5,0,1663056400.5167584,1663056429.5205781,29.003819704055786
/robot_namespace_4,2,1663056431.62717,1663056481.6301906,50.00302052497864
/robot_namespace_2,1,1663056423.493433,1663056489.4979339,66.00450086593628
/robot_namespace_3,0,1663056415.6419358,1663056489.6461356,74.00419974327087
/robot_namespace_1,1,1663056434.5234895,1663056498.5244753,64.00098586082458
/robot_namespace_5,2,1663056472.5161562,1663056541.5213332,69.00517702102661
/robot_namespace_3,0,1663056534.642222,1663056577.6449518,43.00272989273071
/robot_namespace_0,2,1663056418.471734,1663056583.4728615,165.00112748146057
/robot_namespace_1,1,1663056553.5230367,1663056591.5256262,38.00258946418762
/robot_namespace_2,2,1663056557.4941657,1663056612.4988785,55.0047128200531
